"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneList","Dataset","Regulation","Source"
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","KEGG_PENTOSE_PHOSPHATE_PATHWAY","6/143","17/2697",0.00015245459567583,0.00909541206904287,0.00787743883394785,"246599/44010/37804/31185/35886/36060",6,"Rpi, Pgm1, Taldo, Pgd, Pgi, Pfk","Fatbody","down","KEGG"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","13/143","80/2697",0.000220234355679725,0.00909541206904287,0.00787743883394785,"36855/3355144/33487/31009/39108/37628/34754/37292/37849/35453/37430/41200/37235",13,"RpLP2, RpL38, RpS21, RpL36, RpS9, RpL23, RpL24, RpS18, RpL39, RpL21, RpL29, RpS29, RpL11","Fatbody","down","KEGG"
"KEGG_RIBOSOME","KEGG_RIBOSOME","13/143","80/2697",0.000220234355679725,0.00909541206904287,0.00787743883394785,"36855/3355144/33487/31009/39108/37628/34754/37292/37849/35453/37430/41200/37235",13,"RpLP2, RpL38, RpS21, RpL36, RpS9, RpL23, RpL24, RpS18, RpL39, RpL21, RpL29, RpS29, RpL11","Fatbody","down","KEGG"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","KEGG_GLYCOLYSIS_GLUCONEOGENESIS","8/143","33/2697",0.00023026359668463,0.00909541206904287,0.00787743883394785,"43582/44010/41311/35886/33461/40097/34256/36060",8,"Tpi, Pgm1, Fdh, Pgi, Pgk, Aldh7A1, Aldh, Pfk","Fatbody","down","KEGG"
"KEGG_BETA_ALANINE_METABOLISM","KEGG_BETA_ALANINE_METABOLISM","5/143","13/2697",0.000356140421753024,0.0112540373273955,0.00974700101639854,"41167/40916/36536/40097/34256",5,"SpdS, pyd3, Echs1, Aldh7A1, Aldh","Fatbody","down","KEGG"
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","5/143","14/2697",0.000530520499764793,0.0129814510753924,0.0112430955349835,"39985/42689/42185/33431/34414",5,"CG5577, Irp-1A, Mdh2, CG9886, Mdh1","Fatbody","down","KEGG"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","7/143","29/2697",0.000592859157164128,0.0129814510753924,0.0112430955349835,"32789/36392/40059/36536/30995/40097/34256",7,"scu, CG8778, CG3902, Echs1, CG17896, Aldh7A1, Aldh","Fatbody","down","KEGG"
"KEGG_FATTY_ACID_METABOLISM","KEGG_FATTY_ACID_METABOLISM","6/143","22/2697",0.000736838599662648,0.0129814510753924,0.0112430955349835,"40059/41311/36536/38100/40097/34256",6,"CG3902, Fdh, Echs1, Dci, Aldh7A1, Aldh","Fatbody","down","KEGG"
"KEGG_ARACHIDONIC_ACID_METABOLISM","KEGG_ARACHIDONIC_ACID_METABOLISM","7/143","30/2697",0.000739449744800836,0.0129814510753924,0.0112430955349835,"34817/36661/36665/36927/32839/36666/33749",7,"Cyp28a5, Cyp6a23, Cyp6a21, GstS1, Ggt-1, Cyp6a8, Cyp28d1","Fatbody","down","KEGG"
"KEGG_PROPANOATE_METABOLISM","KEGG_PROPANOATE_METABOLISM","5/143","17/2697",0.00144045537113483,0.0215165554565594,0.0186352578904245,"44001/36536/30995/40097/34256",5,"ScsbetaG, Echs1, CG17896, Aldh7A1, Aldh","Fatbody","down","KEGG"
"KEGG_PYRUVATE_METABOLISM","KEGG_PYRUVATE_METABOLISM","6/143","25/2697",0.00153235185924411,0.0215165554565594,0.0186352578904245,"42185/35656/34414/40097/34256/40299",6,"Mdh2, Glo1, Mdh1, Aldh7A1, Aldh, tzn","Fatbody","down","KEGG"
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","7/143","34/2697",0.00163416876885261,0.0215165554565594,0.0186352578904245,"44010/39031/35886/39065/41192/3354921/43504",7,"Pgm1, Galk, Pgi, UGP, Mpi, Gfat1, Gnpnat","Fatbody","down","KEGG"
"KEGG_BUTANOATE_METABOLISM","KEGG_BUTANOATE_METABOLISM","5/143","19/2697",0.00248333868782165,0.026157834178388,0.0226550196081975,"43092/36536/36293/40097/34256",5,"Ssadh, Echs1, CG8888, Aldh7A1, Aldh","Fatbody","down","KEGG"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","5/143","19/2697",0.00248333868782165,0.026157834178388,0.0226550196081975,"33373/41167/32471/42043/32334",5,"Got2, SpdS, Ahcy, AhcyL2, CG11134","Fatbody","down","KEGG"
"KEGG_TRYPTOPHAN_METABOLISM","KEGG_TRYPTOPHAN_METABOLISM","5/143","19/2697",0.00248333868782165,0.026157834178388,0.0226550196081975,"35190/36536/40097/34256/40048",5,"Ddc, Echs1, Aldh7A1, Aldh, Cat","Fatbody","down","KEGG"
"KEGG_TYROSINE_METABOLISM","KEGG_TYROSINE_METABOLISM","5/143","21/2697",0.0039878955490271,0.0393804685466426,0.0341070014061528,"33373/35190/41311/38746/34256",5,"Got2, Ddc, Fdh, ple, Aldh","Fatbody","down","KEGG"
